Laa,ndaa,Haau,mmw,gravy,aroma,locus_tag
69,17,3.8286,122.95,+0.0754,0.0435,b0528
287,20,4.0466,125.66,+0.0415,0.0453,b0529
179,19,3.8538,120.39,+0.2011,0.0726,b0530
229,19,4.0525,128.53,+0.0052,0.0786,b0531
866,20,4.1008,128.32,-0.3634,0.1155,b0532
326,20,4.1192,127.05,+0.0770,0.0951,b0533
170,20,3.9748,124.33,+0.1453,0.0765,b0534
209,19,4.0309,130.52,+0.0507,0.0813,b0535
386,20,4.0939,134.44,-0.6801,0.0751,b0537
,,,,,,b4633
,,,,,,b0539
,,,,,,b4508
,,,,,,b0542
98,19,3.7581,134.28,-1.0000,0.0612,b0540
287,20,4.1949,134.36,-0.5157,0.1185,b0541
109,20,3.9011,126.35,+1.0404,0.1284,b0543
507,20,4.1037,131.18,-0.1617,0.0809,b0544
182,20,4.0515,124.21,-0.1319,0.1099,b0545
264,20,4.1310,134.27,-0.3091,0.0947,b0546
32,17,3.8789,127.23,-0.3250,0.0625,b4588
150,20,4.2078,133.24,-0.3760,0.1000,b0547
55,17,3.8424,133.37,-0.6327,0.0545,b0548
95,20,4.0119,125.37,-0.1232,0.0316,b0549
119,20,4.1263,133.11,-0.6059,0.0756,b0550
45,18,3.8878,136.78,-0.2067,0.1556,b4509
126,20,4.1216,129.34,-0.0421,0.0635,b0551
,,,,,,b0553
337,20,4.1707,134.27,-0.5409,0.0890,b0552
70,18,3.8557,127.00,+0.0343,0.1286,b0554
164,20,4.0806,126.69,-0.1750,0.0793,b0555
152,20,3.9259,130.36,-0.4224,0.0461,b0556
59,17,3.8051,128.88,-0.0254,0.0339,b4510
96,19,3.8905,125.29,+0.1875,0.0729,b0557
135,19,4.0178,138.49,-0.4756,0.1407,b0558
67,18,3.8869,129.57,-0.1433,0.0448,b0559
63,19,3.8650,135.02,-1.0619,0.0635,b4589
180,20,4.0050,130.67,-0.4383,0.0611,b0560
,,,,,,b4634
,,,,,,b0561
,,,,,,b0562
,,,,,,b0563
248,20,4.0345,133.39,-0.0169,0.1169,b0564
316,19,4.0753,130.08,-0.6528,0.1361,b0565
252,20,4.0719,132.58,+0.0286,0.0913,b0566
295,20,4.0702,129.56,-0.1651,0.1085,b0567
989,20,4.0555,130.41,-0.4566,0.0910,b0568
744,20,4.1414,132.49,-0.0188,0.1075,b0569
479,20,4.1117,129.89,+0.0081,0.0689,b0570
226,19,3.9935,129.72,+0.0673,0.0708,b0571
456,20,3.9693,127.93,-0.2349,0.0789,b0572
109,18,4.0178,129.04,-0.1578,0.0642,b0573
406,19,4.0376,126.77,-0.0906,0.0690,b0574
1046,20,4.0681,127.53,+0.2811,0.0755,b0575
457,20,4.0215,128.58,+0.7363,0.1335,b0576
414,20,4.0760,130.22,+0.2971,0.0845,b0577
216,20,4.0613,128.00,-0.2204,0.0833,b0578
121,20,4.0798,132.90,-0.3835,0.0992,b0579
81,19,3.7480,132.26,+1.1148,0.1481,b0580
371,20,4.2030,129.98,-0.2302,0.0889,b0581
49,16,3.6553,128.51,+0.7592,0.1020,b4415
369,20,4.0255,128.47,-0.2279,0.0732,b0582
205,20,4.1299,130.74,-0.1034,0.0976,b0583
745,20,4.1095,128.02,-0.5844,0.0926,b0584
373,20,4.1459,131.74,-0.3290,0.1046,b0585
71,18,3.8764,132.41,-0.4662,0.1408,b4511
1292,20,4.0617,127.80,-0.0801,0.0797,b0586
376,20,4.0576,129.58,-0.1769,0.0745,b0587
270,20,4.0430,127.77,-0.1426,0.0481,b0588
329,20,3.8164,123.67,+1.0125,0.0608,b0589
333,20,3.6912,119.28,+0.9865,0.0450,b0590
415,20,3.7918,121.95,+0.9202,0.0723,b0591
317,19,3.9399,125.69,-0.0738,0.0631,b0592
390,20,4.0602,127.71,-0.2277,0.0718,b0593
535,20,4.1046,128.23,-0.1505,0.0822,b0594
284,20,4.1520,132.12,-0.2954,0.0880,b0595
247,20,3.9832,123.68,+0.0251,0.0729,b0596
136,20,4.0519,126.99,-0.1566,0.0441,b0597
700,20,4.0169,125.09,+0.7806,0.1100,b0598
64,19,4.0780,132.36,-0.8391,0.1250,b4512
361,20,4.0436,125.89,+0.1042,0.0776,b0599
385,20,4.1105,129.22,-0.0758,0.0961,b0600
208,20,4.1525,132.41,-0.6038,0.0529,b0601
405,20,4.2589,135.74,-0.4580,0.1432,b0602
299,19,4.0416,132.55,-0.0896,0.0736,b0603
247,20,4.0884,128.73,-0.2263,0.0850,b0604
186,20,4.1102,128.83,-0.2892,0.1022,b0605
520,20,4.0775,125.76,-0.1265,0.0577,b0606
141,18,3.9387,129.97,-0.0667,0.0496,b0607
411,20,4.0770,125.13,-0.0153,0.0803,b0608
135,20,4.0027,127.48,-0.0430,0.0444,b0610
267,20,4.1389,128.38,-0.4202,0.1011,b0611
486,20,4.0115,126.95,+0.8706,0.1235,b0612
291,20,4.0070,126.24,+0.0162,0.0584,b0613
182,20,4.0007,128.57,-0.1467,0.0330,b0614
509,20,4.0787,126.12,-0.0976,0.0472,b0615
301,20,3.9835,127.52,-0.1721,0.0465,b0616
97,19,3.9205,126.67,+0.0082,0.0309,b0617
351,20,4.1540,131.77,-0.1476,0.0912,b0618
551,20,4.1040,129.69,-0.0221,0.0853,b0619
225,19,4.0825,130.48,-0.1867,0.0711,b0620
460,20,3.9093,122.93,+1.0739,0.0804,b0621
185,19,4.1617,134.88,-0.3384,0.2054,b0622
68,17,3.8395,125.58,-0.2441,0.1176,b0623
126,19,3.7972,126.17,+0.9571,0.1508,b0624
,,,,,,b4581
66,16,3.5490,122.18,+0.0955,0.0303,b0627
320,20,4.1598,130.27,-0.3366,0.0594,b0628
316,20,4.0980,131.34,-0.0453,0.0823,b0629
212,20,4.1403,129.96,-0.1877,0.0708,b0630
86,18,3.9879,130.55,-0.1895,0.0698,b0631
402,20,4.1371,128.20,-0.1420,0.0920,b0632
361,20,3.9488,121.56,-0.2507,0.0471,b0633
369,20,3.9715,127.30,+0.9054,0.0921,b0634
632,19,4.1289,129.89,-0.3570,0.0965,b0635
154,20,4.0696,129.65,-0.3234,0.0714,b0636
104,20,3.9733,127.95,+0.0163,0.0385,b0637
202,20,4.1089,132.66,-0.2243,0.0891,b0638
212,20,4.0917,133.01,-0.4684,0.0896,b0639
342,20,3.9313,130.75,-0.1044,0.0614,b0640
192,20,4.0395,128.47,-0.2630,0.0469,b0641
859,20,4.1774,131.03,-0.3702,0.0978,b0642
159,20,4.0727,135.30,-0.6195,0.0818,b0643
324,20,4.0830,131.85,-0.6327,0.1481,b0644
234,20,4.1495,135.91,-0.5179,0.1624,b0645
474,20,4.1305,134.27,-0.2181,0.1055,b0646
183,20,4.0822,131.49,-0.4776,0.1311,b0647
234,20,4.1802,132.86,-0.4021,0.1325,b0648
482,20,4.1118,133.23,-0.3409,0.1017,b0649
555,20,4.0900,129.43,-0.2105,0.0667,b0650
310,20,4.0895,126.64,+0.0994,0.0677,b0651
240,20,4.0719,128.48,-0.0708,0.0542,b0652
223,19,3.9345,129.07,+0.8637,0.1300,b0653
245,20,4.0709,129.66,+0.5996,0.1306,b0654
301,20,4.0704,128.55,-0.4807,0.0698,b0655
337,20,4.1707,134.27,-0.5409,0.0890,b0656
511,20,4.0618,129.40,+0.2699,0.1213,b0657
291,20,4.0236,131.93,-0.3797,0.0619,b0658
154,20,4.0488,130.85,-0.3253,0.0649,b0659
345,20,4.0439,130.74,-0.3325,0.0609,b0660
473,20,4.1539,131.15,-0.3831,0.0761,b0661
390,20,4.0761,127.77,+0.0221,0.0846,b0662
553,20,4.1743,131.05,-0.3600,0.1067,b0674
249,20,4.1303,126.50,+0.1020,0.0964,b0675
405,20,4.0501,127.62,-0.0109,0.0494,b0676
381,20,4.0667,125.10,+0.0751,0.0604,b0677
265,20,4.1790,129.81,-0.1925,0.0830,b0678
647,20,4.0009,123.42,+0.5822,0.0927,b0679
553,20,4.1993,132.53,-0.5222,0.0976,b0680
467,19,4.0916,130.71,-0.5167,0.1692,b0681
107,20,3.9777,128.76,-0.5458,0.0374,b0682
147,19,4.0428,131.25,-0.5762,0.0544,b0683
27,14,3.5599,127.62,-0.3000,0.0000,b4637
175,20,4.0479,129.94,-0.2971,0.1086,b0684
96,17,3.7854,133.96,-0.9365,0.0104,b0685
253,19,4.0650,129.82,-0.2213,0.0751,b0686
180,20,4.1125,130.05,-0.2983,0.0667,b0687
545,20,4.0985,124.82,-0.1716,0.0716,b0688
163,20,4.1777,129.26,-0.3583,0.0675,b0689
,,,,,,b0691
,,,,,,b4636
438,20,3.9938,123.83,+0.7644,0.1073,b0692
731,20,4.1778,130.55,-0.2375,0.1026,b0693
84,20,4.1073,129.32,+0.0929,0.0714,b4590
224,19,3.9803,130.57,-0.1562,0.0625,b0694
893,20,4.0419,128.39,-0.0924,0.0616,b0695
189,19,3.9490,124.46,+0.0757,0.0741,b0696
681,20,3.9975,123.81,+0.3557,0.0543,b0697
556,20,3.9562,124.20,+0.7691,0.0953,b0698
28,11,3.1500,122.39,+1.8893,0.1429,b4513
67,18,3.9571,139.29,-0.2269,0.2239,b0699
1396,20,4.1143,130.93,-0.7168,0.0946,b0700
107,20,3.7913,133.98,+1.2103,0.1682,b0702
,,,,,,b0703
188,20,4.1761,134.04,-0.2782,0.1223,b0704
,,,,,,b4514
,,,,,,b0705
252,20,4.1118,131.97,-0.4143,0.0794,b0706
168,19,4.0379,137.43,-0.5036,0.1190,b0707
471,20,4.1796,131.64,-0.3998,0.1019,b0708
492,20,4.0522,127.79,+0.6728,0.1321,b0709
246,20,4.0798,126.73,-0.1333,0.0691,b0710
217,20,3.9920,127.68,+0.0092,0.0737,b0711
309,20,4.1197,128.81,-0.3540,0.0680,b0712
243,20,3.9878,123.57,+0.0140,0.0535,b0713
262,20,4.1076,131.36,-0.3580,0.0878,b0714
347,20,3.8293,123.88,+1.0784,0.0749,b0715
352,20,4.1675,129.92,-0.2940,0.1108,b0716
241,20,4.0972,129.24,-0.2809,0.0830,b0717
814,20,4.1450,128.55,-0.4146,0.0983,b0718
187,20,4.0258,123.30,-0.1107,0.0535,b0719
426,20,4.1862,130.38,-0.2359,0.0962,b0720
128,19,3.9648,128.56,+0.8289,0.1094,b0721
114,19,3.8084,129.58,+1.3640,0.1667,b0722
587,20,4.1482,127.51,-0.3279,0.0681,b0723
237,20,4.1524,130.34,-0.3084,0.0759,b0724
932,20,4.1859,130.58,-0.4436,0.0901,b0726
404,19,3.9956,126.58,-0.2220,0.0396,b0727
387,20,4.0009,124.59,+0.0189,0.0543,b0728
288,19,3.9249,120.89,+0.1556,0.0486,b0729
239,19,4.0862,135.69,-0.5732,0.0879,b0730
657,20,4.0151,123.83,+0.3842,0.0807,b0731
876,20,4.2006,132.02,-0.3666,0.0890,b0732
521,20,4.0930,129.45,+0.3937,0.1363,b0733
378,20,4.0624,129.93,+0.6542,0.1429,b0734
36,16,3.7608,126.14,+0.7139,0.1389,b4515
96,19,3.9442,130.34,+1.0594,0.1458,b0735
133,20,4.0706,133.90,-0.1383,0.1053,b0736
229,19,4.0209,129.14,+0.2188,0.0961,b0737
141,18,3.9132,126.05,+0.1922,0.0355,b0738
420,20,3.3984,120.41,-0.6155,0.0286,b0739
429,19,4.0304,124.79,-0.2203,0.0909,b0740
172,19,4.0264,126.59,-0.4674,0.0640,b0741
262,19,3.9266,125.20,-0.4771,0.0725,b0742
346,20,4.1315,128.11,-0.1465,0.0636,b0750
238,20,4.0265,130.82,+0.9046,0.1429,b0751
312,20,4.0298,128.68,+0.3247,0.0641,b0752
125,18,3.7909,119.80,-0.7320,0.0080,b0753
349,20,4.1148,126.50,-0.1883,0.0516,b0754
249,19,4.0372,132.10,-0.5779,0.1004,b0755
345,20,4.1210,128.28,-0.4730,0.0986,b0756
381,20,4.1203,126.39,-0.1102,0.0630,b0757
347,20,4.1820,131.84,-0.5314,0.1037,b0758
337,20,4.1679,128.15,-0.3178,0.0831,b0759
489,20,4.0476,129.23,-0.2204,0.0675,b0760
261,20,3.9812,125.80,-0.0284,0.0460,b0761
48,16,3.7114,125.33,+0.9667,0.0833,b0762
256,19,3.9480,124.32,-0.0277,0.0859,b0763
228,20,3.8562,126.74,+0.8215,0.1053,b0764
351,20,4.0540,128.99,-0.0553,0.0570,b0765
271,20,4.1523,128.91,-0.1336,0.0775,b0766
330,20,4.1370,127.59,-0.2300,0.0788,b0767
316,20,4.1262,131.65,-0.0981,0.0791,b0768
349,19,4.0610,123.77,+0.0688,0.0487,b0769
476,20,3.9101,125.58,+0.9330,0.1176,b0770
752,20,4.1521,126.20,-0.1448,0.0758,b0771
426,20,4.0749,125.84,-0.3629,0.0845,b0772
157,20,4.0695,125.89,-0.1936,0.1019,b0773
428,20,4.1679,128.26,+0.0164,0.0818,b0774
345,20,4.1302,129.61,-0.3890,0.0667,b0775
383,20,4.0235,126.23,-0.0812,0.0653,b0776
250,20,4.0383,130.52,-0.3236,0.0800,b0777
224,20,4.0521,125.11,+0.0076,0.0759,b0778
672,19,4.0496,131.22,-0.3610,0.0685,b0779
301,20,3.9957,126.45,+0.0332,0.0332,b0780
328,20,4.1296,131.42,-0.3613,0.0854,b0781
169,20,4.0946,127.58,-0.2379,0.0651,b0782
160,20,4.0199,126.25,-0.0488,0.0312,b0783
80,18,3.8129,125.62,+0.1812,0.0875,b0784
149,19,4.0596,130.98,-0.5128,0.1007,b0785
233,18,3.8880,128.54,+0.8107,0.1288,b0786
236,20,3.9984,128.07,+0.9237,0.1186,b0787
317,20,3.9848,130.67,+0.8713,0.1325,b0788
412,20,4.1337,133.27,-0.3971,0.0971,b0789
252,20,4.1513,131.67,-0.3036,0.0913,b0790
135,20,3.9046,131.46,+0.6452,0.0815,b0791
367,20,4.0559,130.87,+0.3872,0.1090,b0792
376,20,4.0342,129.48,+0.6112,0.0984,b0793
577,20,4.0888,127.17,-0.1870,0.0659,b0794
331,19,3.9833,127.58,-0.3704,0.0725,b0795
222,20,4.0458,130.03,-0.1216,0.0721,b0796
453,20,4.0044,128.04,-0.5115,0.0353,b0797
159,19,4.1326,134.49,-0.7805,0.1006,b0798
715,20,4.1125,131.71,-0.2460,0.0699,b0799
319,20,4.1031,127.42,-0.1718,0.0564,b0800
360,20,4.1316,125.65,-0.0894,0.0722,b0801
85,16,3.6131,117.06,+0.3000,0.0471,b0802
87,18,3.9306,128.43,-0.9138,0.0345,b0803
224,20,4.1204,131.32,-0.3710,0.0938,b0804
759,20,4.0760,125.80,-0.5020,0.0896,b0805
85,18,3.8659,120.92,-0.0894,0.0471,b0806
307,20,4.1479,129.01,-0.3899,0.0847,b0807
740,20,4.0630,128.49,+0.3908,0.1027,b0808
239,19,4.0371,129.24,-0.1460,0.0502,b0809
218,19,3.9056,129.09,+0.8720,0.1101,b0810
247,19,3.9591,127.49,-0.2421,0.0972,b0811
166,19,4.0034,129.74,-0.2271,0.0602,b0812
294,20,3.8428,123.52,+0.9446,0.0850,b0813
170,20,4.0187,126.56,-0.3329,0.1529,b0814
526,20,4.1426,131.24,-0.1205,0.1369,b0815
88,19,4.0158,130.67,-0.5500,0.0795,b0816
154,19,3.9477,131.59,-0.3916,0.0455,b0817
371,20,3.9434,128.58,+0.9178,0.1105,b0818
305,20,4.0956,126.79,-0.1230,0.0754,b0819
529,20,4.0983,130.89,-0.3851,0.0851,b0820
420,20,4.1855,130.35,-0.4007,0.0976,b0821
270,20,4.1107,130.10,-0.1759,0.0963,b0822
809,20,4.1659,129.23,-0.2481,0.0791,b0823
298,20,4.1161,128.38,-0.0752,0.0738,b0824
219,20,3.9457,122.34,+0.3635,0.0502,b0825
248,19,4.0542,125.15,+0.1569,0.0524,b0826
410,20,4.0554,125.13,+0.0227,0.0683,b0827
320,20,3.9768,121.90,+0.0953,0.0500,b0828
622,20,4.0428,128.89,-0.0585,0.0498,b0829
511,20,4.0978,128.23,-0.2573,0.1115,b0830
305,19,4.0126,129.22,+0.6738,0.1115,b0831
302,20,3.9723,127.58,+0.6825,0.1126,b0832
781,20,4.1081,133.12,-0.0851,0.1088,b0833
441,20,4.0811,130.77,+0.1397,0.1179,b0834
440,20,4.1287,130.36,-0.2845,0.0659,b0835
126,20,3.9814,132.19,-0.2556,0.0476,b0836
370,20,4.1153,128.57,-0.3805,0.1000,b0837
207,20,4.1046,131.85,-0.2082,0.0966,b0838
399,20,4.0875,126.94,-0.0835,0.0977,b0839
251,20,4.1681,131.16,-0.1904,0.0876,b0840
197,20,4.0310,130.95,+0.7218,0.1320,b0841
409,20,3.9602,126.01,+0.7995,0.1002,b0842
93,19,3.8553,123.62,+0.4161,0.0538,b0843
270,20,4.0938,129.30,-0.1444,0.1037,b0844
401,20,3.9022,122.01,+0.8254,0.0898,b0845
177,20,4.1155,131.90,-0.2006,0.0960,b0846
560,20,3.9952,125.52,+0.5514,0.0821,b0847
124,18,3.8826,131.35,+0.7419,0.1613,b0848
84,19,4.0566,131.53,-0.6000,0.1071,b0849
94,17,3.8081,128.35,+0.4479,0.0426,b0850
239,20,4.1088,129.53,-0.1632,0.0711,b0851
299,20,4.0330,126.00,+0.0161,0.0435,b0852
157,20,4.0536,129.59,+0.1146,0.0828,b0853
369,20,4.0651,128.29,-0.1989,0.1003,b0854
376,20,4.1215,129.14,-0.1354,0.0532,b0855
316,20,4.0239,129.85,+0.7424,0.1203,b0856
280,20,3.9143,126.55,+0.8950,0.1000,b0857
161,20,4.0018,132.11,+0.5727,0.1304,b0858
374,20,4.1520,129.80,-0.0610,0.0856,b0859
242,20,4.0920,128.26,-0.2897,0.1074,b0860
221,20,3.9456,130.07,+0.7077,0.1267,b0861
237,20,3.9776,128.00,+0.7127,0.1139,b0862
242,20,4.0717,128.68,-0.3380,0.0992,b0863
241,20,4.1133,129.52,-0.1427,0.0622,b0864
170,20,4.0796,128.85,-0.4729,0.0588,b0865
106,18,3.8897,124.50,+0.0160,0.0755,b0866
275,20,4.0757,130.46,-0.3473,0.1018,b0867
336,20,4.1883,130.92,-0.2961,0.0863,b0868
475,20,4.1007,130.77,-0.0682,0.0926,b0869
332,20,4.0732,127.49,-0.1340,0.0663,b0870
571,20,4.1287,126.35,+0.0042,0.0683,b0871
321,20,4.1455,128.89,-0.0717,0.0935,b0872
549,20,4.1386,127.15,+0.0311,0.0838,b0873
298,20,3.8722,126.04,+1.0819,0.0839,b0874
230,20,3.8186,120.42,+0.9300,0.1217,b0875
551,20,4.0788,133.15,-0.3299,0.0744,b0876
329,20,4.1368,134.15,-0.3520,0.0942,b0877
370,19,3.9236,127.41,-0.1892,0.0351,b0878
647,20,4.0513,127.06,+0.1258,0.0665,b0879
73,20,4.0223,125.14,-0.2260,0.1096,b0880
105,20,4.0805,132.58,-0.2000,0.1048,b0881
757,20,4.0705,129.05,-0.3008,0.0542,b0882
71,18,3.9959,132.10,-0.3859,0.0563,b0884
233,20,4.1495,131.62,-0.2562,0.1073,b0885
572,20,3.9513,127.75,+0.2414,0.0734,b0886
587,20,3.9894,128.59,+0.1593,0.0852,b0887
320,20,4.0801,125.74,-0.2000,0.0625,b0888
163,19,4.0004,132.97,-0.4337,0.0613,b0889
1328,20,4.0503,128.34,-0.4087,0.0753,b0890
202,20,4.0553,128.65,-0.5158,0.0990,b0891
446,20,4.0685,128.95,-0.3917,0.0807,b0892
429,20,4.1169,130.52,-0.4529,0.0629,b0893
813,20,4.1952,129.02,-0.4384,0.0812,b0894
204,20,4.1831,129.39,-0.4956,0.0980,b0895
286,20,3.8956,125.28,+1.0608,0.1084,b0896
207,20,4.1028,128.89,-0.1367,0.0966,b0897
381,20,3.9506,126.37,+0.8567,0.1050,b0898
475,20,4.0572,128.22,+0.6827,0.1368,b0899
301,20,4.1618,131.45,-0.1482,0.0997,b0900
195,20,4.1983,135.38,-0.3928,0.1282,b0901
245,20,4.1668,132.53,-0.3698,0.0980,b0902
759,20,4.1675,130.28,-0.3830,0.0935,b0903
284,20,4.0551,126.61,+0.7676,0.1197,b0904
585,20,4.1240,129.98,-0.1993,0.1197,b0905
229,20,4.1022,132.13,+0.2284,0.1048,b0906
361,20,4.1347,127.80,-0.1186,0.0997,b0907
426,20,4.0886,125.87,-0.0094,0.0657,b0908
253,20,3.9969,123.12,-0.2498,0.0474,b0909
226,20,3.9213,126.85,-0.0088,0.0442,b0910
556,20,3.9582,127.74,-0.3043,0.0540,b0911
93,18,4.0243,130.94,-0.8129,0.0645,b0912
753,20,4.0982,130.00,+0.2952,0.1076,b0913
581,20,4.0801,128.70,+0.1103,0.0706,b0914
327,20,4.0421,126.39,+0.0581,0.0612,b0915
409,20,4.1423,134.17,-0.3973,0.0954,b0916
59,19,3.9758,131.67,-0.1610,0.0508,b0917
247,20,4.0499,129.21,-0.1530,0.0688,b0918
296,20,4.1218,134.02,-0.3105,0.1014,b0919
258,19,4.0132,128.55,+0.0368,0.0853,b0920
260,20,4.1633,132.11,-0.4112,0.0846,b0921
439,20,4.0580,132.89,-0.3800,0.0866,b0922
233,20,4.0359,133.14,-0.4953,0.0815,b0923
1485,20,4.0030,132.55,-0.6007,0.0579,b0924
614,20,4.1026,128.21,-0.2793,0.0765,b0925
181,19,4.0260,129.64,-0.3956,0.0939,b0926
214,20,4.1108,128.46,-0.1547,0.0794,b0927
395,20,4.1187,127.95,-0.2068,0.0911,b0928
361,19,3.9350,126.56,-0.4044,0.1385,b0929
465,20,4.1203,130.75,-0.2619,0.1097,b0930
399,20,4.1446,132.67,-0.3038,0.1028,b0931
869,20,4.1530,131.67,-0.3276,0.0967,b0932
254,19,3.8597,126.63,-0.0161,0.0315,b0933
262,19,3.9061,127.85,+0.7710,0.1031,b0934
380,20,4.0448,127.45,-0.1971,0.0789,b0935
318,19,4.0073,126.22,-0.0836,0.0755,b0936
190,18,3.9245,129.09,-0.0811,0.0842,b0937
178,18,3.7962,122.12,+0.0635,0.0618,b0938
232,19,4.0542,126.80,-0.0655,0.0819,b0939
865,20,4.1052,127.95,-0.3665,0.1110,b0940
355,20,4.0909,124.22,-0.0017,0.0901,b0941
179,19,3.9648,122.84,+0.1564,0.0670,b0942
170,20,4.0562,126.03,+0.0682,0.0824,b0943
235,20,4.0115,127.39,-0.0328,0.0723,b0944
335,19,4.0725,127.34,-0.1161,0.0627,b0945
179,20,4.1480,132.20,-0.1592,0.1006,b0946
368,20,4.1490,128.06,-0.1859,0.0788,b0947
701,20,4.1376,130.29,-0.3621,0.0856,b0948
634,20,4.0633,131.45,-0.4705,0.0647,b0949
416,20,4.0965,129.35,+0.5779,0.0938,b0950
545,19,4.0912,128.79,-0.2842,0.0716,b0951
186,20,3.9971,128.15,-0.1688,0.0860,b0952
54,19,3.8997,135.76,-1.1926,0.0741,b0953
171,20,4.0405,128.07,-0.0234,0.1053,b0954
585,20,4.1013,130.27,-0.1651,0.0786,b0955
149,19,4.0035,135.76,-0.7973,0.0671,b0956
345,20,4.0901,125.41,-0.3452,0.0899,b0957
168,20,4.0380,129.04,-0.2226,0.0655,b0958
208,20,4.0748,133.39,-0.2822,0.0962,b0959
716,20,4.0749,131.87,+0.0955,0.1020,b0960
147,20,3.9174,127.72,+0.7694,0.1020,b0961
683,20,4.1070,131.96,-0.4165,0.0805,b0962
151,20,4.1083,129.07,+0.0258,0.0662,b0963
219,20,4.0139,129.63,-0.1658,0.0639,b0964
136,20,4.0154,125.01,+0.0831,0.0515,b0965
104,19,3.9780,129.84,-0.4192,0.0577,b0966
395,20,4.1124,129.93,-0.1830,0.0886,b0967
91,20,4.0472,129.56,-0.4187,0.0879,b0968
108,20,4.0583,131.54,-0.3241,0.1111,b0969
218,19,3.8265,124.50,+0.9963,0.1055,b0970
371,20,4.1997,127.27,-0.2105,0.0863,b0972
596,20,4.2065,128.93,-0.2138,0.0906,b0973
234,20,4.1434,135.31,+0.2906,0.1923,b0974
194,20,3.9838,128.31,-0.1242,0.0825,b0975
131,19,4.0356,130.54,-0.2985,0.0992,b0976
284,20,4.0228,128.16,-0.1662,0.0458,b0977
513,20,4.0866,130.63,+0.3546,0.1365,b0978
377,20,3.9900,130.15,+0.8504,0.1485,b0979
29,15,3.3823,136.92,+1.2931,0.1724,b4592
431,20,4.0620,126.85,-0.1622,0.0580,b0980
725,19,4.0634,129.87,-0.3117,0.0607,b0981
147,20,4.0928,128.47,-0.2993,0.0544,b0982
378,20,4.0913,128.04,-0.1437,0.0688,b0983
697,20,4.1436,130.69,-0.4593,0.1363,b0984
247,19,4.0094,127.92,-0.1312,0.0729,b0985
213,20,4.1112,131.25,-0.2498,0.0892,b0986
100,16,3.1574,111.60,+0.2630,0.0200,b0987
90,19,4.0408,126.38,-0.3522,0.0556,b4516
166,20,4.1538,135.79,-0.5627,0.1205,b0988
69,19,4.0028,127.74,-0.1899,0.0725,b0989
69,18,3.9851,128.62,-0.3957,0.1159,b0990
75,18,3.9275,132.39,+0.3533,0.1333,b0991
56,16,3.7127,132.77,-0.5893,0.0536,b4517
356,20,4.1291,130.23,+0.4565,0.1152,b0992
913,20,3.9842,128.50,-0.1563,0.0427,b0993
341,20,4.0948,128.62,-0.1085,0.0821,b0994
229,20,4.0116,131.92,-0.1873,0.0524,b0995
389,20,4.1998,129.73,-0.5098,0.0720,b0996
847,20,4.1994,129.36,-0.3511,0.0945,b0997
198,20,4.0075,131.27,-0.0773,0.0960,b0998
100,19,3.9318,131.64,+0.0680,0.0600,b0999
305,19,4.1244,130.49,-0.6007,0.0820,b1000
417,20,4.1132,133.62,-0.3283,0.1223,b1001
412,20,4.1516,128.53,-0.3301,0.0850,b1002
74,19,3.9517,131.19,-0.6838,0.0946,b1003
197,19,3.9721,123.07,-0.0919,0.0863,b1004
56,12,3.3261,120.41,-1.7768,0.0357,b4518
441,20,3.8852,120.98,+0.9952,0.0771,b1006
163,20,4.1149,125.99,+0.0933,0.0798,b1007
195,20,4.0508,127.87,-0.2082,0.0974,b1008
265,20,4.0183,126.50,+0.0860,0.0717,b1009
127,20,4.0377,125.21,+0.2370,0.0945,b1010
229,20,4.1123,127.44,-0.0100,0.1135,b1011
381,20,4.1546,128.43,-0.1646,0.1076,b1012
211,20,4.0438,129.57,+0.0602,0.0948,b1013
1319,20,4.0587,126.93,-0.1328,0.0607,b1014
501,20,4.0103,126.19,+0.7824,0.1218,b1015
,,,,,,b4490
374,20,4.0351,127.61,-0.3209,0.0722,b1018
422,20,4.1204,128.45,-0.3566,0.0782,b1019
353,20,4.1230,128.82,-0.2482,0.0737,b1020
136,19,3.9974,135.16,+0.1463,0.1471,b1021
440,20,4.1760,133.05,+0.2920,0.1273,b1022
671,20,4.1634,133.16,-0.3829,0.1177,b1023
806,20,4.1246,132.23,-0.5694,0.1117,b1024
451,20,4.1119,132.50,+0.3714,0.1197,b1025
287,20,4.1949,134.36,-0.5157,0.1185,b1026
98,19,3.7581,134.28,-1.0000,0.0612,b1027
,,,,,,b1028
327,20,4.0095,135.81,+0.7792,0.1957,b1029
311,20,4.1411,131.18,-0.2650,0.0932,b1033
244,20,4.1234,127.61,-0.1258,0.0738,b1034
183,20,4.0098,130.45,-0.1770,0.0984,b1035
162,20,3.8556,122.49,+0.9438,0.1049,b1036
276,20,4.0975,128.19,-0.0315,0.0761,b1037
137,19,3.9612,126.82,-0.3796,0.0803,b1038
128,18,4.0512,133.09,-0.1461,0.1328,b1039
215,20,4.0532,133.30,-0.4260,0.0791,b1040
150,17,3.8058,122.90,-0.2433,0.0600,b1041
150,19,3.7563,117.35,-0.4100,0.0600,b1042
109,19,3.8118,126.43,-0.1596,0.0275,b1043
102,19,4.0350,126.30,+0.0735,0.0980,b1044
176,20,4.0149,124.44,-0.0034,0.0625,b1045
472,20,4.1115,131.40,-0.1672,0.0932,b1046
384,20,4.0818,134.01,+0.6099,0.1693,b1047
510,19,4.1532,131.28,-0.5459,0.1137,b1048
