acgt,ryr,gcc,Hgc,gcs,ats,locus_tag
294,1.1778,0.5034,1.0000,+0.0946,+0.2603,b1027
,,,,,,b1028
981,0.8234,0.4057,0.9742,-0.1357,-0.2556,b1029
933,1.0021,0.5145,0.9994,-0.0375,-0.0375,b1033
732,1.0562,0.4863,0.9995,-0.0337,+0.0213,b1034
549,1.0639,0.5392,0.9956,-0.0946,-0.0435,b1035
486,1.0000,0.5412,0.9951,-0.1331,-0.1570,b1036
828,1.0146,0.5024,1.0000,-0.0048,+0.0097,b1037
411,0.9571,0.4282,0.9851,+0.0795,+0.0213,b1038
384,1.0870,0.4349,0.9877,-0.1138,-0.0138,b1039
645,1.0283,0.4202,0.9815,+0.0406,+0.0535,b1040
450,1.3077,0.4222,0.9825,-0.1789,+0.1000,b1041
450,1.0455,0.5156,0.9993,-0.0431,+0.0000,b1042
327,0.9123,0.4312,0.9863,+0.0922,-0.0108,b1043
306,1.0265,0.4412,0.9900,+0.0370,+0.0526,b1044
528,1.0545,0.5189,0.9990,-0.0511,+0.0000,b1045
1416,0.9916,0.5085,0.9998,-0.0583,-0.0690,b1046
1152,0.7972,0.4401,0.9896,+0.0256,-0.1814,b1047
1530,1.1103,0.5000,1.0000,-0.0327,+0.0719,b1048
2538,0.9463,0.5504,0.9926,-0.0551,-0.1288,b1049
222,0.8500,0.5090,0.9998,-0.0796,-0.2477,b1050
369,1.4765,0.5068,0.9999,-0.2086,+0.1758,b1051
1221,0.8389,0.5258,0.9981,+0.0436,-0.1364,b1053
915,1.0562,0.5322,0.9970,-0.0513,+0.0000,b1054
1047,1.1367,0.4995,1.0000,-0.0669,+0.0611,b1055
570,1.1190,0.4772,0.9985,+0.0221,+0.1275,b1056
561,0.8274,0.5152,0.9993,+0.0104,-0.1838,b1057
135,0.7089,0.3778,0.9565,-0.1373,-0.3571,b1058
1113,1.0054,0.5265,0.9980,+0.0102,+0.0171,b1059
249,1.2035,0.4578,0.9949,-0.0877,+0.0963,b1060
240,1.1239,0.4875,0.9995,-0.0598,+0.0569,b1061
1041,0.9642,0.5331,0.9968,+0.0523,+0.0206,b1062
555,1.1765,0.4721,0.9977,+0.0076,+0.1604,b1063
642,1.0000,0.4922,0.9998,+0.0823,+0.0798,b1064
1203,0.8709,0.5544,0.9914,-0.0885,-0.2649,b1065
579,1.0035,0.4974,1.0000,-0.0278,-0.0241,b1066
642,1.2062,0.5218,0.9986,-0.1284,+0.0554,b1067
918,1.0816,0.5545,0.9914,-0.0963,-0.0318,b1068
1530,0.8367,0.5386,0.9957,-0.0607,-0.2635,b1069
411,1.3486,0.4842,0.9993,-0.0050,+0.2830,b1070
288,1.2677,0.5312,0.9972,+0.0588,+0.3185,b1071
654,1.1303,0.5260,0.9980,-0.0756,+0.0452,b1072
411,1.0758,0.5401,0.9953,+0.0541,+0.1429,b1073
399,1.2167,0.5338,0.9967,-0.0986,+0.0968,b1074
690,1.1101,0.5493,0.9930,+0.0132,+0.1318,b1075
1203,1.0849,0.5170,0.9992,+0.0289,+0.1153,b1076
750,1.1930,0.5947,0.9740,-0.0897,+0.0855,b1077
777,1.1114,0.5405,0.9953,+0.0190,+0.1373,b1078
693,0.9744,0.5382,0.9958,+0.0027,-0.0250,b1079
1092,1.0880,0.5421,0.9949,-0.0608,+0.0200,b1080
936,1.2339,0.5481,0.9933,-0.0253,+0.2009,b1081
1638,1.1553,0.5195,0.9989,-0.0505,+0.0953,b1082
948,1.2047,0.5095,0.9997,-0.0476,+0.1398,b1083
3180,1.1200,0.5572,0.9905,+0.0011,+0.1293,b1084
315,0.8750,0.4444,0.9911,+0.1000,-0.0400,b1085
954,1.1982,0.5168,0.9992,-0.1400,+0.0369,b1086
579,1.0532,0.5026,1.0000,-0.0447,+0.0069,b1087
516,1.0806,0.5000,1.0000,-0.0620,+0.0155,b1088
168,0.9535,0.5536,0.9917,+0.2043,+0.2000,b1089
1065,1.0923,0.5221,0.9986,-0.1043,-0.0216,b1090
948,1.0431,0.5485,0.9932,-0.0769,-0.0467,b1091
924,1.1439,0.5541,0.9915,-0.1094,+0.0146,b1092
729,1.1632,0.5171,0.9992,-0.1247,+0.0227,b1093
231,1.2871,0.4892,0.9997,-0.0973,+0.1525,b1094
1236,1.0738,0.5340,0.9967,-0.0818,-0.0174,b1095
804,1.0510,0.5075,0.9998,-0.1225,-0.0758,b1096
1017,1.1638,0.5093,0.9997,-0.0811,+0.0701,b1097
636,1.0852,0.5425,0.9948,-0.0551,+0.0241,b1098
999,0.9665,0.5425,0.9948,-0.0111,-0.0503,b1099
792,0.9950,0.5101,0.9997,-0.0347,-0.0412,b1100
1428,0.8716,0.5280,0.9977,-0.0106,-0.1573,b1101
2184,1.0604,0.5005,1.0000,+0.0101,+0.0687,b1102
354,1.0581,0.5085,0.9998,+0.0000,+0.0575,b1103
372,0.9476,0.5000,1.0000,-0.0538,-0.1075,b1104
636,1.1060,0.5676,0.9868,-0.0083,+0.1055,b1105
819,1.0272,0.5348,0.9965,-0.0457,-0.0236,b1106
1020,1.1429,0.5314,0.9972,-0.1255,+0.0000,b1107
537,1.0895,0.4693,0.9973,-0.0635,+0.0246,b1108
1299,1.1191,0.5312,0.9972,-0.0493,+0.0640,b1109
534,1.2723,0.5393,0.9955,-0.1597,+0.0732,b1110
627,1.0625,0.5152,0.9993,+0.0217,+0.0855,b1111
252,1.2105,0.4802,0.9989,-0.0083,+0.1756,b1112
957,1.0233,0.5340,0.9967,+0.0059,+0.0314,b1113
3441,1.0792,0.5484,0.9932,-0.0408,+0.0347,b1114
1068,0.7770,0.4972,1.0000,+0.0094,-0.2402,b1115
1194,0.9933,0.5436,0.9945,-0.0416,-0.0569,b1116
696,1.1027,0.5546,0.9914,-0.0725,+0.0194,b1117
1239,1.0345,0.5206,0.9988,-0.1287,-0.1044,b1118
906,0.9868,0.5298,0.9974,-0.1083,-0.1362,b1119
723,1.1391,0.5214,0.9987,-0.1088,+0.0173,b1120
783,0.9624,0.4278,0.9849,+0.0328,-0.0089,b1121
456,0.8765,0.4364,0.9883,-0.0050,-0.1206,b1122
1041,1.2149,0.5101,0.9997,-0.0320,+0.1647,b1123
789,0.9104,0.5032,1.0000,-0.0882,-0.1837,b1124
822,0.7948,0.5085,0.9998,-0.0048,-0.2376,b1125
1131,1.1061,0.5102,0.9997,-0.0364,+0.0650,b1126
1221,1.2240,0.5004,1.0000,-0.1489,+0.0525,b1127
1116,1.0402,0.5421,0.9949,-0.0512,-0.0176,b1128
1455,1.1148,0.5148,0.9994,-0.0761,+0.0312,b1129
666,1.0748,0.4790,0.9987,-0.0596,+0.0144,b1130
1365,1.0343,0.5245,0.9983,+0.0223,+0.0601,b1131
636,0.9042,0.5723,0.9849,+0.0879,+0.0000,b1132
1101,1.0734,0.5386,0.9957,-0.0455,+0.0236,b1133
456,1.0357,0.5066,0.9999,-0.0563,-0.0222,b1134
648,1.0506,0.5154,0.9993,+0.0299,+0.0828,b1135
1245,1.1429,0.5036,1.0000,-0.0686,+0.0647,b1136
660,1.1711,0.3500,0.9341,-0.0736,+0.0816,b1137
699,0.9417,0.3076,0.8904,+0.0605,-0.0165,b1138
888,1.0651,0.3682,0.9493,-0.0153,+0.0410,b1139
1122,1.2262,0.4483,0.9923,-0.0497,+0.1438,b1140
240,1.1818,0.4500,0.9928,-0.1296,+0.0455,b1141
336,0.9422,0.3899,0.9647,+0.1145,+0.0244,b1143
303,1.2612,0.4752,0.9982,-0.0972,+0.1321,b1144
669,1.2007,0.4469,0.9919,-0.0301,+0.1405,b1145
195,1.2674,0.4308,0.9861,-0.0714,+0.1532,b1146
552,1.1395,0.4964,1.0000,-0.1168,+0.0144,b1147
333,1.2053,0.5015,1.0000,-0.0898,+0.0964,b1148
,,,,,,b4692
,,,,,,b4693
177,0.8247,0.6102,0.9647,-0.1852,-0.5362,b1150
,,,,,,b1151
,,,,,,b1152
579,0.9627,0.5769,0.9829,+0.0180,-0.0204,b1153
624,1.1517,0.5064,0.9999,-0.1203,+0.0195,b1154
408,1.1140,0.4216,0.9822,-0.1279,+0.0000,b1155
597,1.1630,0.4791,0.9987,-0.0210,+0.1254,b1156
,,,,,,b1157
549,1.2686,0.4918,0.9998,-0.1704,+0.0681,b1158
828,1.2198,0.3853,0.9617,-0.1912,+0.0413,b1159
,,,,,,b4519
318,1.0516,0.3428,0.9274,+0.0275,+0.0526,b1160
399,1.1111,0.3684,0.9495,-0.0476,+0.0556,b1161
726,1.0802,0.4890,0.9996,-0.0254,+0.0512,b1162
1206,1.0269,0.4370,0.9885,-0.0209,+0.0074,b1163
231,1.1792,0.4242,0.9834,-0.1224,+0.0526,b1164
267,1.3839,0.3745,0.9541,-0.1200,+0.1856,b1165
261,1.2308,0.3525,0.9363,-0.1304,+0.0888,b1166
243,0.9918,0.3580,0.9410,-0.1034,-0.0641,b1167
1518,0.9612,0.4466,0.9918,+0.0029,-0.0333,b1168
213,0.9018,0.4085,0.9757,+0.0575,-0.0476,b4520
,,,,,,b4491
324,1.2657,0.4568,0.9946,-0.0676,+0.1591,b1171
339,1.3219,0.5280,0.9977,-0.2402,+0.0250,b1172
168,0.8667,0.3274,0.9122,+0.1636,-0.0265,b4593
180,0.9355,0.3778,0.9565,+0.0882,+0.0000,b4594
,,,,,,b4521
261,1.1570,0.4406,0.9898,-0.0435,+0.0959,b1174
807,1.1070,0.5019,1.0000,-0.0519,+0.0498,b1175
690,1.1562,0.5116,0.9996,-0.0482,+0.0979,b1176
363,1.1228,0.4242,0.9834,-0.1818,-0.0335,b1177
396,1.1758,0.4343,0.9875,+0.0233,+0.1607,b1178
288,1.2154,0.4444,0.9911,-0.0938,+0.1000,b1179
654,1.1165,0.5229,0.9985,-0.0877,+0.0192,b1180
456,1.1308,0.4781,0.9986,-0.0734,+0.0504,b1181
906,1.2481,0.4117,0.9774,-0.0456,+0.1557,b1182
414,0.9078,0.4831,0.9992,-0.0400,-0.1308,b1183
1263,1.1263,0.5115,0.9996,-0.1115,+0.0049,b1184
525,0.8421,0.5314,0.9971,-0.1183,-0.3171,b1185
1536,0.8242,0.5293,0.9975,-0.0062,-0.2116,b1186
714,1.0517,0.5154,0.9993,-0.0761,-0.0289,b1187
1527,1.1033,0.4997,1.0000,-0.0354,+0.0628,b1188
1293,1.1093,0.5646,0.9879,-0.0877,+0.0053,b1189
1065,1.1089,0.5822,0.9804,-0.1258,-0.0517,b1190
1731,0.9085,0.5246,0.9983,-0.0903,-0.2005,b1191
909,0.9340,0.5325,0.9970,-0.0041,-0.0776,b1192
606,1.1877,0.5215,0.9987,-0.1139,+0.0552,b1193
729,0.9864,0.5075,0.9998,+0.0541,+0.0418,b1194
249,0.9154,0.5422,0.9949,-0.1852,-0.3158,b1195
435,1.1429,0.4138,0.9784,-0.1000,+0.0431,b1196
1692,1.1418,0.5242,0.9983,+0.0169,+0.1578,b1197
1413,1.0810,0.5032,1.0000,-0.0183,+0.0598,b1198
627,1.0970,0.5391,0.9956,-0.0592,+0.0311,b1199
1065,1.0441,0.5324,0.9970,-0.0194,+0.0241,b1200
1914,1.0941,0.5152,0.9993,-0.0771,+0.0108,b1201
2862,1.1060,0.4986,1.0000,-0.0147,+0.0857,b1202
1086,1.1764,0.5120,0.9996,-0.0432,+0.1208,b1203
579,1.0532,0.4991,1.0000,-0.0657,-0.0138,b1204
273,0.9783,0.5385,0.9957,-0.1156,-0.1587,b1205
1674,0.8456,0.5472,0.9936,-0.0568,-0.2533,b1206
942,0.9108,0.5265,0.9980,+0.0121,-0.0852,b1207
846,1.0735,0.5366,0.9961,-0.1101,-0.0510,b1208
618,1.0262,0.5178,0.9991,+0.0625,+0.0940,b1209
1251,1.1168,0.5444,0.9943,-0.0485,+0.0632,b1210
1077,1.1243,0.5320,0.9970,-0.0366,+0.0833,b1211
828,1.0195,0.5531,0.9918,-0.0437,-0.0324,b1212
387,0.7917,0.4806,0.9989,-0.0108,-0.2338,b1213
804,1.0883,0.4664,0.9967,-0.1147,-0.0210,b1214
849,1.1119,0.5183,0.9990,-0.0955,+0.0073,b1215
102,1.0000,0.5784,0.9822,-0.0508,-0.0698,b4419
102,1.0000,0.6078,0.9662,-0.0645,-0.1000,b4421
102,1.0000,0.5784,0.9822,-0.0508,-0.0698,b4423
1095,0.8403,0.4886,0.9996,-0.0206,-0.1893,b1216
225,1.6163,0.4622,0.9959,-0.1346,+0.3223,b1217
690,1.1296,0.5478,0.9934,-0.1270,-0.0192,b1218
348,1.1350,0.5230,0.9985,-0.0989,+0.0241,b1219
1389,1.1502,0.5068,0.9999,-0.0938,+0.0453,b1220
645,1.1644,0.5194,0.9989,-0.0507,+0.1032,b1221
1791,1.0634,0.5349,0.9965,-0.0418,+0.0180,b1222
1386,0.8505,0.5382,0.9958,-0.0643,-0.2500,b1223
3738,1.0976,0.5498,0.9928,-0.0248,+0.0731,b1224
1533,1.1471,0.5382,0.9958,-0.0497,+0.0904,b1225
705,1.0982,0.5674,0.9869,-0.0500,+0.0426,b1226
672,0.8876,0.5625,0.9887,-0.0741,-0.2313,b1227
84,1.5455,0.6667,0.9183,-0.0714,+0.5000,b1229
837,1.0024,0.4743,0.9981,-0.0327,-0.0273,b1232
453,0.9956,0.4658,0.9966,-0.1185,-0.1074,b1233
900,1.0642,0.5033,1.0000,-0.1038,-0.0425,b1234
1008,1.0282,0.4871,0.9995,-0.0998,-0.0677,b1235
903,1.1971,0.4718,0.9977,-0.1502,+0.0356,b1236
408,1.3448,0.4706,0.9975,-0.0312,+0.2500,b1237
612,1.0746,0.4248,0.9836,-0.0923,-0.0057,b1238
,,,,,,b4573
2670,1.0090,0.5071,0.9999,+0.0192,+0.0289,b1241
642,0.9050,0.4798,0.9988,-0.1039,-0.1916,b1242
1626,1.1172,0.4785,0.9987,+0.0077,+0.1132,b1243
915,0.8300,0.4579,0.9949,-0.0215,-0.1895,b1244
903,0.9131,0.5260,0.9980,-0.1326,-0.2430,b1245
1008,1.0784,0.5188,0.9990,-0.0746,-0.0021,b1246
999,1.0182,0.5175,0.9991,-0.0522,-0.0373,b1247
324,1.0637,0.4784,0.9987,-0.1097,-0.0414,b1248
1455,0.9583,0.5182,0.9990,-0.0504,-0.0984,b1249
168,1.3014,0.5179,0.9991,-0.1264,+0.1358,b4595
1248,0.9171,0.4231,0.9829,+0.0076,-0.0694,b1250
291,1.0350,0.4880,0.9996,-0.0704,-0.0336,b1251
714,1.1124,0.5476,0.9934,+0.0128,+0.1331,b1252
393,1.1129,0.4885,0.9996,-0.1354,-0.0249,b1253
534,0.8163,0.4682,0.9971,-0.0320,-0.2183,b1254
738,0.8450,0.4959,1.0000,-0.0383,-0.2043,b1255
633,1.0419,0.5039,1.0000,-0.0909,-0.0510,b1256
501,1.1229,0.4092,0.9761,+0.0146,+0.1081,b1257
495,1.4750,0.4323,0.9867,-0.0748,+0.2811,b1258
174,1.5970,0.5172,0.9991,-0.1556,+0.3095,b1259
801,0.9827,0.5381,0.9958,-0.0023,-0.0216,b1260
1188,1.0733,0.5480,0.9933,-0.0261,+0.0466,b1261
1353,1.0625,0.5299,0.9974,-0.0767,-0.0220,b1262
1590,1.0307,0.5654,0.9876,-0.0100,+0.0217,b1263
1557,0.9342,0.5446,0.9942,+0.0354,-0.0324,b1264
39,1.0526,0.4615,0.9957,-0.1111,-0.0476,b1265
876,1.1418,0.5422,0.9948,-0.0568,+0.0773,b1266
615,1.0297,0.4846,0.9993,-0.0403,-0.0095,b1267
1890,0.9424,0.4709,0.9976,-0.0899,-0.1360,b1268
870,1.1376,0.5402,0.9953,-0.1277,-0.0100,b1269
585,1.2500,0.5060,0.9999,-0.1351,+0.0865,b1270
753,1.0296,0.5259,0.9981,+0.0303,+0.0644,b1271
1044,1.3097,0.5067,0.9999,-0.1531,+0.1146,b1272
246,1.2162,0.4797,0.9988,+0.0000,+0.1875,b1273
2592,1.1966,0.5185,0.9990,-0.0714,+0.1090,b1274
969,1.0104,0.4850,0.9994,+0.0085,+0.0180,b1275
123,0.9219,0.5122,0.9996,-0.1429,-0.2333,b4522
162,1.3143,0.4691,0.9972,-0.0263,+0.2326,b4523
2670,1.1024,0.5300,0.9974,-0.0572,+0.0390,b1276
585,1.0383,0.5043,0.9999,-0.0034,+0.0345,b1277
759,1.0403,0.5086,0.9998,-0.1036,-0.0670,b1278
303,0.9423,0.5050,0.9999,-0.1503,-0.2133,b1279
1164,1.1397,0.5206,0.9988,-0.0759,+0.0538,b1280
732,0.9784,0.5314,0.9971,-0.0951,-0.1312,b1281
321,1.4135,0.5047,0.9999,-0.1728,+0.1698,b1282
213,1.1959,0.5305,0.9973,-0.2035,-0.0400,b1283
744,1.0384,0.4906,0.9997,+0.0027,+0.0396,b1284
168,0.9535,0.4881,0.9996,+0.0000,-0.0465,b4596
1980,1.0391,0.4859,0.9994,-0.0395,+0.0000,b1285
99,0.9412,0.3131,0.8968,-0.0323,-0.0588,b4672
1929,1.0241,0.5334,0.9968,+0.0126,+0.0400,b1286
1122,0.9345,0.5098,0.9997,+0.0734,+0.0073,b1287
783,0.9191,0.5351,0.9964,+0.0119,-0.0769,b1288
348,1.0351,0.4971,1.0000,-0.1098,-0.0743,b1289
801,1.0538,0.5144,0.9994,-0.0583,-0.0077,b1290
987,1.0562,0.5147,0.9994,-0.0236,+0.0313,b1291
885,0.8632,0.5718,0.9851,-0.0514,-0.2401,b1292
960,0.8147,0.5156,0.9993,-0.0141,-0.2258,b1293
1638,0.9570,0.5433,0.9946,+0.0112,-0.0348,b1294
240,1.2018,0.4917,0.9998,-0.0339,+0.1475,b1295
1380,0.8474,0.5348,0.9965,-0.0352,-0.2181,b1296
1413,1.0749,0.5364,0.9962,-0.0686,-0.0015,b1297
759,1.0625,0.5244,0.9983,-0.0603,-0.0028,b1298
552,1.1647,0.5127,0.9995,-0.0530,+0.1004,b1299
1482,1.0903,0.5742,0.9840,-0.0176,+0.0777,b1300
1275,1.0335,0.5843,0.9794,-0.0067,+0.0302,b1301
1260,1.0656,0.5786,0.9821,-0.0398,+0.0207,b1302
972,1.0725,0.5185,0.9990,-0.0595,+0.0085,b1303
663,1.4375,0.4962,1.0000,-0.1307,+0.2275,b1304
219,1.0092,0.4840,0.9993,-0.1132,-0.0973,b1305
354,0.8930,0.5056,0.9999,-0.0503,-0.1657,b1306
216,1.2268,0.5509,0.9925,-0.1429,+0.0515,b1307
309,1.2071,0.5146,0.9994,-0.0566,+0.1333,b1308
1674,1.0490,0.4397,0.9895,-0.0435,+0.0085,b1309
1287,1.1962,0.5019,1.0000,-0.0526,+0.1264,b1310
876,0.8174,0.5388,0.9956,-0.0127,-0.2327,b1311
837,0.8235,0.5305,0.9973,-0.0045,-0.2112,b1312
1047,1.0651,0.5597,0.9897,-0.0478,+0.0108,b1313
783,1.0880,0.5390,0.9956,-0.0427,+0.0416,b1314
1050,1.1298,0.5476,0.9934,-0.0713,+0.0484,b1315
2262,1.0983,0.5380,0.9958,-0.0666,+0.0239,b1316
654,0.9878,0.5673,0.9869,-0.0243,-0.0459,b1317
,,,,,,b4524
900,1.1583,0.5000,1.0000,-0.1422,+0.0044,b1319
993,1.0602,0.4562,0.9945,-0.0464,+0.0148,b1320
1392,1.0233,0.5453,0.9941,-0.0593,-0.0458,b1321
1056,1.1773,0.5653,0.9876,-0.1290,+0.0196,b1322
1536,1.0898,0.5228,0.9985,-0.0959,-0.0150,b1323
501,0.9269,0.5170,0.9992,+0.0347,-0.0413,b1324
960,1.1719,0.5479,0.9934,-0.1559,-0.0138,b1325
723,0.9229,0.5505,0.9926,+0.0251,-0.0585,b1326
,,,,,,b4525
,,,,,,b4673
915,1.1181,0.4820,0.9991,-0.0204,+0.0886,b1327
894,1.0181,0.4664,0.9967,-0.0647,-0.0398,b1328
1608,1.1584,0.4801,0.9989,-0.0492,+0.0957,b1329
1026,0.9286,0.4337,0.9873,-0.0292,-0.0878,b1330
1011,1.1239,0.5490,0.9931,+0.0234,+0.1579,b1331
252,0.9688,0.4603,0.9955,-0.2069,-0.2059,b1332
945,1.1477,0.5079,0.9998,-0.0417,+0.0968,b1333
747,1.0354,0.5181,0.9991,+0.0026,+0.0389,b1334
510,1.0988,0.5353,0.9964,-0.0842,+0.0042,b1335
1521,0.8150,0.4938,0.9999,-0.0226,-0.2234,b1336
1440,1.0253,0.5271,0.9979,+0.0329,+0.0631,b1337
1305,1.0295,0.5533,0.9918,-0.0554,-0.0360,b1338
903,1.1049,0.4983,1.0000,-0.0622,+0.0375,b1339
558,1.0977,0.5448,0.9942,-0.0526,+0.0394,b1340
1227,1.0181,0.4784,0.9987,+0.0085,+0.0250,b1341
978,1.0460,0.5204,0.9988,-0.1316,-0.0959,b1342
1368,1.0696,0.5205,0.9988,-0.0899,-0.0274,b1343
930,1.1628,0.4882,0.9996,-0.0793,+0.0714,b1344
1230,1.3563,0.4301,0.9858,-0.1002,+0.1897,b1345
210,1.2581,0.4524,0.9934,-0.0947,+0.1304,b1346
204,1.4578,0.3529,0.9367,-0.0278,+0.2727,b1347
189,1.5200,0.4127,0.9779,-0.2308,+0.1892,b1348
804,1.1907,0.4739,0.9980,-0.0394,+0.1300,b1349
2595,1.1679,0.4948,0.9999,+0.0016,+0.1548,b1350
270,1.4107,0.3926,0.9665,-0.0755,+0.2317,b1351
165,1.5385,0.3758,0.9550,-0.0645,+0.3010,b4526
216,1.0377,0.4213,0.9821,+0.0330,+0.0560,b1352
483,0.8295,0.3727,0.9527,+0.0889,-0.0957,b1353
150,1.3077,0.5067,0.9999,+0.0526,+0.3243,b4527
129,1.1864,0.4806,0.9989,-0.1613,+0.0149,b1355
471,1.2322,0.4225,0.9826,-0.0050,+0.1765,b1356
291,1.1716,0.4364,0.9883,-0.1024,+0.0610,b1357
417,1.1947,0.5132,0.9995,-0.0467,+0.1330,b1358
852,1.2480,0.4812,0.9990,-0.0878,+0.1312,b1359
741,1.3084,0.5304,0.9973,-0.1603,+0.1034,b1360
,,,,,,b1361
,,,,,,b1362
180,0.9780,0.5833,0.9799,+0.0286,+0.0133,b4528
1452,0.8310,0.3815,0.9591,-0.1552,-0.2450,b1363
258,1.3036,0.4884,0.9996,-0.1587,+0.1061,b1365
,,,,,,b1366
,,,,,,b1368
,,,,,,b4570
975,1.0923,0.5569,0.9906,+0.0460,+0.1574,b1370
3357,1.1728,0.5341,0.9966,-0.0351,+0.1304,b1372
570,1.2619,0.4825,0.9991,-0.1418,+0.0915,b1373
585,1.2414,0.4496,0.9927,-0.0570,+0.1491,b1374
228,1.5333,0.3640,0.9460,-0.0602,+0.2966,b1375
,,,,,,b4638
429,1.0047,0.4872,0.9995,+0.0431,+0.0455,b1376
1128,1.0735,0.4681,0.9971,-0.0417,+0.0300,b1377
3519,1.0143,0.5331,0.9968,-0.0064,+0.0079,b1378
261,1.1048,0.5556,0.9911,-0.1862,-0.1207,b4529
417,1.3296,0.4724,0.9978,-0.0964,+0.1818,b1379
984,1.0716,0.5030,1.0000,-0.0343,+0.0348,b1380
2634,1.0955,0.5216,0.9986,-0.0902,-0.0032,b1381
180,1.0225,0.4333,0.9871,-0.0256,+0.0000,b1382
321,1.4884,0.4548,0.9941,-0.2329,+0.1657,b1383
900,1.0548,0.4878,0.9996,-0.0615,-0.0065,b1384
1494,1.1404,0.5355,0.9964,-0.1425,-0.0231,b1385
2268,1.1058,0.5066,0.9999,-0.0165,+0.0849,b1386
2040,1.0902,0.5431,0.9946,-0.0939,-0.0172,b1387
924,1.1792,0.5227,0.9985,-0.0476,+0.1202,b1388
282,1.0735,0.5000,1.0000,-0.1064,-0.0355,b1389
741,1.0932,0.5331,0.9968,-0.0481,+0.0405,b1390
492,0.9524,0.5610,0.9892,+0.0362,-0.0093,b1391
1065,1.1006,0.5343,0.9966,-0.0721,+0.0202,b1392
762,1.0595,0.5486,0.9932,-0.0096,+0.0523,b1393
783,1.1690,0.5466,0.9937,-0.0841,+0.0704,b1394
1422,1.1710,0.5338,0.9967,-0.1410,+0.0075,b1395
417,0.9952,0.5180,0.9991,+0.0370,+0.0348,b1396
1200,1.1467,0.5608,0.9893,-0.1412,-0.0247,b1397
1308,1.0962,0.5191,0.9989,-0.0898,-0.0016,b1398
945,0.9895,0.5048,0.9999,-0.0943,-0.1068,b1399
585,1.2587,0.5094,0.9997,-0.1946,+0.0314,b1400
60,1.2222,0.1333,0.5665,+0.5000,+0.1923,b4674
,,,,,,b4492
900,1.2113,0.5511,0.9924,-0.1290,+0.0545,b1402
360,1.2642,0.5361,0.9962,-0.0777,+0.1617,b1403
1146,1.2559,0.4590,0.9951,-0.0152,+0.1968,b1404
855,1.0118,0.5333,0.9968,-0.0570,-0.0526,b1406
2301,1.1247,0.4350,0.9878,-0.1069,+0.0215,b1407
600,0.7910,0.4683,0.9971,-0.0178,-0.2351,b1408
891,0.8917,0.4366,0.9884,-0.1260,-0.1992,b1409
1752,1.0325,0.5097,0.9997,-0.0929,-0.0640,b1410
1287,0.9353,0.5074,0.9998,-0.1087,-0.1798,b1411
600,0.9934,0.5233,0.9984,+0.0064,+0.0000,b1412
3897,1.1412,0.5350,0.9965,-0.0686,+0.0629,b1413
795,0.9776,0.5145,0.9994,+0.0122,-0.0104,b1414
1434,1.1793,0.5112,0.9996,-0.1214,+0.0414,b1415
,,,,,,b4493
525,0.8953,0.4781,0.9986,-0.0438,-0.1460,b1418
168,1.0241,0.4464,0.9917,-0.0933,-0.0538,b1419
144,0.8701,0.5486,0.9932,+0.0633,-0.0769,b4428
162,0.8621,0.5185,0.9990,+0.1667,+0.0256,b1420
1635,1.1800,0.5131,0.9995,-0.0942,+0.0704,b1421
918,0.9827,0.5065,0.9999,-0.0323,-0.0508,b1422
1338,1.0972,0.5284,0.9977,-0.0806,+0.0079,b1423
1650,1.0122,0.5091,0.9998,-0.0452,-0.0346,b1424
219,1.4333,0.4201,0.9815,-0.0870,+0.2441,b1426
534,1.1360,0.4363,0.9883,-0.0644,+0.0631,b1427
975,1.1667,0.4851,0.9994,-0.1290,+0.0279,b1428
987,0.9128,0.5329,0.9969,-0.1103,-0.2234,b1429
588,1.1151,0.4609,0.9956,-0.0627,+0.0473,b1430
663,1.1250,0.4480,0.9922,-0.0370,+0.0765,b1431
,,,,,,b4578
1143,1.1855,0.5197,0.9989,-0.0404,+0.1330,b1432
1170,0.8690,0.5308,0.9973,-0.0660,-0.2240,b1433
531,0.9451,0.4972,1.0000,+0.0152,-0.0412,b1434
1956,1.0875,0.5112,0.9996,-0.0440,+0.0397,b1435
225,1.3438,0.4933,0.9999,-0.2613,+0.0351,b1436
171,1.2500,0.4971,1.0000,-0.0824,+0.1395,b4532
411,0.9479,0.4599,0.9953,+0.0053,-0.0450,b1438
1401,1.0275,0.5153,0.9993,-0.0388,-0.0133,b1439
1140,1.1388,0.5298,0.9974,-0.0497,+0.0821,b1440
1008,1.0698,0.5456,0.9940,-0.0945,-0.0393,b1441
936,0.8140,0.5310,0.9972,-0.0463,-0.2711,b1442
789,0.8741,0.5425,0.9948,-0.0561,-0.2133,b1443
1419,1.2034,0.5335,0.9968,-0.1598,+0.0151,b1444
90,0.6667,0.3333,0.9183,-0.2000,-0.4000,b4598
168,0.6471,0.4583,0.9950,+0.0390,-0.3626,b1445
228,1.2353,0.5482,0.9933,+0.0080,+0.2427,b1446
444,0.8122,0.5225,0.9985,-0.0776,-0.3019,b1447
513,1.0685,0.5341,0.9966,-0.1168,-0.0628,b1448
1032,1.1864,0.5252,0.9982,-0.1808,-0.0204,b1449
660,1.1854,0.4394,0.9894,-0.0690,+0.0973,b1450
2097,1.1333,0.5117,0.9996,-0.0624,+0.0625,b1451
1056,1.1595,0.5085,0.9998,-0.0503,+0.0983,b1452
1494,0.9302,0.5214,0.9987,-0.1245,-0.2112,b1453
